district_key,district_code,district_name_th,district_agency_id,requires_district_confirmation,district_specific_sop_verified
1001,1001,พระนคร,bma-district-1001,1,0
1002,1002,ดุสิต,bma-district-1002,1,0
1003,1003,หนองจอก,bma-district-1003,1,0
1004,1004,บางรัก,bma-district-1004,1,0
1005,1005,บางเขน,bma-district-1005,1,0
1006,1006,บางกะปิ,bma-district-1006,1,0
1007,1007,ปทุมวัน,bma-district-1007,1,0
1008,1008,ป้อมปราบศัตรูพ่าย,bma-district-1008,1,0
1009,1009,พระโขนง,bma-district-1009,1,0
1010,1010,มีนบุรี,bma-district-1010,1,0
1011,1011,ลาดกระบัง,bma-district-1011,1,0
1012,1012,ยานนาวา,bma-district-1012,1,0
1013,1013,สัมพันธวงศ์,bma-district-1013,1,0
1014,1014,พญาไท,bma-district-1014,1,0
1015,1015,ธนบุรี,bma-district-1015,1,0
1016,1016,บางกอกใหญ่,bma-district-1016,1,0
1017,1017,ห้วยขวาง,bma-district-1017,1,0
1018,1018,คลองสาน,bma-district-1018,1,0
1019,1019,ตลิ่งชัน,bma-district-1019,1,0
1020,1020,บางกอกน้อย,bma-district-1020,1,0
1021,1021,บางขุนเทียน,bma-district-1021,1,0
1022,1022,ภาษีเจริญ,bma-district-1022,1,0
1023,1023,หนองแขม,bma-district-1023,1,0
1024,1024,ราษฎร์บูรณะ,bma-district-1024,1,0
1025,1025,บางพลัด,bma-district-1025,1,0
1026,1026,ดินแดง,bma-district-1026,1,0
1027,1027,บึงกุ่ม,bma-district-1027,1,0
1028,1028,สาทร,bma-district-1028,1,0
1029,1029,บางซื่อ,bma-district-1029,1,0
1030,1030,จตุจักร,bma-district-1030,1,0
1031,1031,บางคอแหลม,bma-district-1031,1,0
1032,1032,ประเวศ,bma-district-1032,1,0
1033,1033,คลองเตย,bma-district-1033,1,0
1034,1034,สวนหลวง,bma-district-1034,1,0
1035,1035,จอมทอง,bma-district-1035,1,0
1036,1036,ดอนเมือง,bma-district-1036,1,0
1037,1037,ราชเทวี,bma-district-1037,1,0
1038,1038,ลาดพร้าว,bma-district-1038,1,0
1039,1039,วัฒนา,bma-district-1039,1,0
1040,1040,บางแค,bma-district-1040,1,0
1041,1041,หลักสี่,bma-district-1041,1,0
1042,1042,สายไหม,bma-district-1042,1,0
1043,1043,คันนายาว,bma-district-1043,1,0
1044,1044,สะพานสูง,bma-district-1044,1,0
1045,1045,วังทองหลาง,bma-district-1045,1,0
1046,1046,คลองสามวา,bma-district-1046,1,0
1047,1047,บางนา,bma-district-1047,1,0
1048,1048,ทวีวัฒนา,bma-district-1048,1,0
1049,1049,ทุ่งครุ,bma-district-1049,1,0
1050,1050,บางบอน,bma-district-1050,1,0
